,UIID,label,xmin,xmax,ymin,ymax
2095,20987.json,email,40.0,321.3333333333333,136.33333333333334,165.0
2096,20987.json,password,40.666666666666664,319.3333333333333,192.33333333333334,223.66666666666666
2097,20987.json,password,40.666666666666664,321.3333333333333,240.33333333333334,271.0
2098,20987.json,country,39.333333333333336,320.6666666666667,297.6666666666667,328.3333333333333
2099,20987.json,sign_up,39.333333333333336,320.0,345.6666666666667,376.3333333333333
2100,20987.json,tb_log_in,109.33333333333333,250.66666666666669,393.0,411.0
2101,27891.json,log_in,17.5,162.5,528.0,571.75
2102,27891.json,sign_up,197.5,342.5,528.0,571.75
2103,27891.json,image_view,72.0,282.6666666666667,63.66666666666667,250.33333333333334
2104,37468.json,image_view,-0.4166666666666572,359.0,20.750000000000014,366.0
2105,37468.json,phone_button,45.75,314.0,430.0,472.0
2106,37468.json,tb_log_in,91.25,268.75,493.0,535.0
2107,17877.json,image_view,277.5,351.0,30.0,54.0
2108,17877.json,username,31.5,328.5,368.5,399.5
2109,17877.json,image_view,310.5,328.5,402.5,429.5
2110,17877.json,password,31.5,329.6666666666667,399.5,431.0
2111,17877.json,log_in,22.5,337.5,439.5,472.5
2112,17877.json,separator_line,22.5,337.5,481.5,482.5
2113,17877.json,sign_up,22.5,337.5,491.5,524.5
2114,17877.json,image_view,327.0,351.0,565.0,589.0
2115,21416.json,text_view,49.0,94.0,36.0,55.0
2116,21416.json,icon_button,0.0,49.0,21.0,70.0
2117,21416.json,search_button,276.0,318.0,24.5,66.5
2118,21416.json,cart_icon_button,318.0,360.0,24.5,66.5
2119,21416.json,filter_button,59.0,120.25,81.5,100.5
2120,21416.json,separator_line_v,179.5,180.5,70.0,112.0
2121,21416.json,sort,240.5,299.75,81.5,100.5
2122,21416.json,image_view,4.5,175.5,116.5,344.5
2123,21416.json,text_view,73.75,106.25,344.5,361.0
2124,21416.json,text_view,4.5,175.5,361.0,377.5
2125,21416.json,price_s,46.0,90.25,377.5,395.25
2126,21416.json,price,97.25,134.0,377.5,395.25
2127,21416.json,image_view,184.5,355.5,116.5,344.5
2128,21416.json,text_view,253.75,286.25,344.5,361.0
2129,21416.json,text_view,184.5,355.5,361.0,377.5
2130,21416.json,price_s,222.25,266.5,377.5,395.25
2131,21416.json,price,273.5,317.75,377.5,395.25
2132,21416.json,image_view,4.5,175.5,411.25,598.0
2133,21416.json,image_view,184.5,355.5,411.25,598.0
2134,21416.json,card,2.666666666666666,177.33333333333334,115.0,402.3333333333333
2135,21416.json,card,184.0,357.3333333333333,116.33333333333333,403.6666666666667
2136,21416.json,card_partial,3.333333333333334,176.66666666666666,409.6666666666667,599.0
2137,21416.json,card_partial,184.0,356.6666666666667,409.6666666666667,598.3333333333334
2138,13567.json,msg_icon,0.0,49.0,21.0,70.0
2139,13567.json,text_view,52.5,156.75,24.5,47.75
2140,13567.json,msg_icon,281.25,307.5,32.25,58.5
2141,13567.json,search_button,318.0,360.0,24.5,66.5
2142,13567.json,text_view,52.5,133.25,47.75,66.75
2143,13567.json,text_button,34.25,128.0,79.75,102.5
2144,13567.json,separator_line_v,165.0,165.25,66.75,115.75
2145,13567.json,separator_line_v,165.25,165.5,66.75,115.75
2146,13567.json,sort,186.5,242.75,79.75,102.5
2147,13567.json,separator_line_v,263.75,264.0,66.75,115.75
2148,13567.json,filter_button,281.25,345.0,79.75,102.5
2149,13567.json,ad,40.0,320.0,556.25,598.0
2150,13567.json,image_view,6.0,354.0,121.5,272.0
2151,13567.json,image_view,6.0,354.0,121.5,272.0
2152,13567.json,text_view,14.75,266.5,278.25,299.5
2153,13567.json,text_view,14.75,93.0,303.0,320.75
2154,13567.json,text_view,14.75,100.25,325.25,340.75
2155,13567.json,text_view,8.75,42.0,121.5,155.75
2156,13567.json,image_view,331.0,357.5,121.5,148.0
2157,13567.json,text_view,2.5,55.0,178.5,204.25
2158,13567.json,price,2.5,74.0,210.5,245.75
2159,13567.json,text_view,11.25,53.25,251.0,264.25
2160,13567.json,image_view,293.75,342.0,248.5,296.75
2161,13567.json,text_view,287.75,348.25,324.0,345.25
2162,13567.json,image_view,6.0,354.0,356.0,506.5
2163,13567.json,image_view,6.0,354.0,356.0,506.5
2164,13567.json,text_view,14.75,266.5,512.75,534.0
2165,13567.json,text_view,14.75,93.0,537.5,550.0
2166,13567.json,text_view,8.75,42.0,356.0,390.25
2167,13567.json,image_view,331.0,357.5,356.0,382.5
2168,13567.json,price,2.5,74.0,445.0,480.25
2169,13567.json,text_view,11.25,68.0,485.5,498.75
2170,13567.json,image_view,293.75,342.0,483.0,531.25
2171,13567.json,image_view,261.0,283.0,531.0,550.0
2172,13567.json,card,3.0,358.3333333333333,118.33333333333333,349.0
2173,13567.json,card_partial,3.0,359.0,357.0,551.0
2174,40410.json,text_view,26.25,333.75,202.75,226.5
2175,40410.json,email,27.0,333.0,236.0,271.0
2176,40410.json,password,27.0,333.0,271.75,306.75
2177,40410.json,check_box,35.0,56.0,316.25,337.25
2178,40410.json,tb_forgot_password,226.5,325.0,318.25,335.25
2179,40410.json,text_view,64.75,217.75,318.25,335.25
2180,40410.json,log_in,57.5,302.5,346.0,381.0
2181,40410.json,text_view,100.0,175.25,389.75,407.25
2182,40410.json,text_button,179.75,260.0,389.75,406.25
2183,40410.json,separator_line,179.75,260.0,406.25,407.25
2184,40410.json,image_view,40.0,320.0,110.75,176.5
2185,40410.json,text_view,66.0,101.25,563.0,589.25
2186,40410.json,separator_line_v,105.75,106.75,570.75,581.25
2187,40410.json,tb_privacy_terms,111.25,212.75,563.0,589.25
2188,40410.json,separator_line_v,217.25,218.25,570.75,581.25
2189,40410.json,tb_privacy_terms,222.75,294.0,563.0,589.25
2190,40410.json,image_view,136.25,223.75,535.0,563.0
2191,Soliha_screen_0549.json,image,0.0,1440.0,0.0,420.0
2192,Soliha_screen_0549.json,button,56.0,280.0,868.0,1123.0
2193,Soliha_screen_0549.json,button,308.0,567.0,868.0,1123.0
2194,Soliha_screen_0549.json,TabWidget,0.0,1440.0,1197.0,1368.0
2195,Soliha_screen_0549.json,button,28.0,633.0,1498.0,1844.0
2196,Soliha_screen_0549.json,button,686.0,1295.0,1498.0,1844.0
2197,Soliha_screen_0549.json,button,0.0,0.0,0.0,0.0
2198,Soliha_screen_0549.json,button,0.0,0.0,0.0,0.0
2199,Soliha_screen_0549.json,button,0.0,0.0,0.0,0.0
2200,Soliha_screen_0549.json,button,0.0,0.0,0.0,0.0
2201,Soliha_screen_0549.json,Image,84.0,462.0,2170.0,2229.0
2202,Soliha_screen_0549.json,label,45.16666666666674,524.3333333333335,1974.5,2049.5
2203,Soliha_screen_0549.json,image,195.16666666666674,1249.3333333333335,2266.166666666667,2591.166666666667
2204,Soliha_screen_0549.json,label,228.5,391.0,566.1666666666667,637.0
2205,Soliha_screen_0549.json,icon,41.0,182.66666666666674,549.5,662.0
2206,29533.json,icon_button,0.0,49.0,21.0,70.0
2207,29533.json,text_view,52.5,153.25,33.75,57.0
2208,29533.json,image_view,54.33333333333333,310.3333333333333,77.66666666666667,168.33333333333334
2209,29533.json,text_view,15.0,60.33333333333333,180.33333333333334,197.0
2210,29533.json,email,18.333333333333332,343.6666666666667,203.66666666666666,235.0
2211,29533.json,password,17.666666666666668,342.3333333333333,242.33333333333334,273.6666666666667
2212,29533.json,password,16.333333333333332,342.3333333333333,281.0,311.6666666666667
2213,29533.json,text_button,17.0,341.6666666666667,322.3333333333333,351.6666666666667
2214,29533.json,sign_up,17.0,342.3333333333333,363.0,401.6666666666667
2215,29533.json,text_button,16.333333333333332,343.0,412.3333333333333,433.6666666666667
2216,29533.json,text_button,117.66666666666666,241.0,456.3333333333333,472.3333333333333
2217,29533.json,separator_line,16.333333333333332,342.3333333333333,442.3333333333333,444.3333333333333
2218,29533.json,box_outline,5.0,353.0,167.0,486.3333333333333
2219,Soliha_screen_0119.json,icon_button,0.0,196.0,84.0,280.0
2220,Soliha_screen_0119.json,label,212.0,959.0,153.0,224.0
2221,Soliha_screen_0119.json,label,1272.0,1440.0,98.0,266.0
2222,Soliha_screen_0119.json,label,89.0,698.0,547.0,607.0
2223,Soliha_screen_0119.json,label,85.0,491.0,632.0,679.0
2224,Soliha_screen_0119.json,image,70.0,494.0,725.0,1324.0
2225,Soliha_screen_0119.json,label,96.0,198.0,1367.0,1397.0
2226,Soliha_screen_0119.json,image,508.0,932.0,725.0,1324.0
2227,Soliha_screen_0119.json,label,522.0,743.0,1367.0,1397.0
2228,Soliha_screen_0119.json,image,946.0,1370.0,725.0,1324.0
2229,Soliha_screen_0119.json,label,972.0,1074.0,1367.0,1397.0
2230,Soliha_screen_0119.json,image,1384.0,1440.0,725.0,1324.0
2231,Soliha_screen_0119.json,label,1398.0,1440.0,1352.0,1409.0
2232,Soliha_screen_0119.json,label,315.0,1041.0,1534.0,1571.0
2233,Soliha_screen_0119.json,icon_button,1126.0,1294.0,1469.0,1637.0
2234,Soliha_screen_0119.json,label,147.0,1048.0,1824.0,1896.0
2235,Soliha_screen_0119.json,icon_button,1160.0,1356.0,1735.0,1931.0
2236,Soliha_screen_0119.json,label,140.0,992.0,1937.0,2003.0
2237,Soliha_screen_0119.json,button,140.0,1300.0,2301.0,2469.0
2238,Soliha_screen_0119.json,button,261.8333333333335,728.5,328.6666666666667,478.66666666666674
2239,Soliha_screen_0119.json,button,757.666666666667,1170.166666666667,328.6666666666667,487.0
2240,67763.json,image_view,70.5,289.25,125.5,192.5
2241,67763.json,edit_text,17.5,342.5,210.0,247.25
2242,67763.json,password,17.5,342.5,273.5,310.75
2243,67763.json,check_box,17.5,52.5,335.0,363.0
2244,67763.json,text_view,52.5,342.5,319.5,378.75
2245,67763.json,log_in,110.0,250.0,387.5,429.5
2246,67763.json,tb_forgot_username,17.5,180.0,455.75,472.25
2247,67763.json,tb_forgot_password,180.0,342.5,455.75,472.25
2248,46194.json,text_view,132.25,227.75,51.75,94.0
2249,46194.json,text_view,110.25,249.5,98.5,112.75
2250,46194.json,image_view,149.5,174.25,126.75,151.5
2251,46194.json,google_button,128.66666666666666,231.33333333333334,125.0,151.66666666666666
2252,46194.json,image_view,151.75,166.0,157.5,182.25
2253,46194.json,fb_button,127.33333333333334,231.33333333333334,155.66666666666666,183.0
2254,46194.json,email,22.0,338.0,200.5,221.75
2255,46194.json,password,22.0,338.0,235.0,256.25
2256,46194.json,tb_forgot_password,130.5,229.5,265.25,290.75
2257,46194.json,log_in,92.5,267.5,299.5,343.25
2258,46194.json,tb_sign_up,0.0,360.0,352.0,377.5
2259,46194.json,tb_privacy_terms,0.0,360.0,568.75,598.0
2260,45995.json,image_view,21.0,339.0,42.0,133.5
2261,45995.json,email,21.0,339.0,133.5,175.5
2262,45995.json,password,21.0,339.0,187.75,229.75
2263,45995.json,button,21.0,339.0,305.0,347.0
2264,45995.json,log_in,20.333333333333336,339.6666666666667,242.33333333333334,285.0
2265,1622.json,image_view,21.0,108.5,49.0,78.0
2266,1622.json,text_view,290.25,349.5,38.5,78.5
2267,1622.json,fb_button,21.0,174.75,488.25,525.0
2268,1622.json,google_button,185.25,339.0,488.25,525.0
2269,1622.json,email_button,21.0,339.0,535.5,572.25
2270,1622.json,text_view,21.0,233.75,341.5,376.5
2271,1622.json,text_view,21.0,273.25,392.25,435.75
2272,1622.json,navigation_dots,146.75,212.33333333333334,461.0,467.0
2273,247.json,text_view,116.0,244.0,25.75,51.25
2274,247.json,icon_button,0.0,43.75,21.0,56.0
2275,247.json,name,27.5,332.5,70.25,105.25
2276,247.json,last_name,27.5,332.5,105.5,140.5
2277,247.json,phone_number,27.5,332.3333333333333,140.75,175.0
2278,247.json,email,27.5,332.5,176.0,211.0
2279,247.json,email,27.5,332.5,239.5,274.5
2280,247.json,password,27.5,332.5,274.75,309.75
2281,247.json,password,27.5,332.5,310.0,345.0
2282,247.json,check_box,106.25,139.5,346.25,388.25
2283,247.json,text_view,148.5,230.25,359.75,374.75
2284,247.json,icon_button,239.0,258.25,357.5,376.75
2285,247.json,text_view,26.5,333.5,388.25,412.25
2286,247.json,text_view,36.5,294.75,433.25,461.5
2287,247.json,check_box,295.41666666666663,328.66666666666663,426.5,468.5
2288,247.json,sign_up,29.25,330.75,481.0,515.0
2289,247.json,tb_privacy_terms,31.0,329.0,522.25,546.25
2290,247.json,separator_line,0.0,360.0,56.0,59.5
2291,247.json,box_outline,26.333333333333336,334.3333333333333,69.66666666666667,213.0
2292,247.json,box_outline,27.0,335.0,239.0,345.6666666666667
2293,Soliha_screen_0288.json,label,659.0,783.0,163.0,204.0
2294,Soliha_screen_0288.json,label,72.0,269.0,336.0,381.0
2295,Soliha_screen_0288.json,label,74.0,169.0,493.0,528.0
2296,Soliha_screen_0288.json,label,71.0,531.0,654.0,699.0
2297,Soliha_screen_0288.json,label,71.0,201.0,809.0,846.0
2298,Soliha_screen_0288.json,label,71.0,207.0,989.0,1024.0
2299,Soliha_screen_0288.json,label,70.0,155.0,1150.0,1195.0
2300,Soliha_screen_0288.json,label,74.0,283.0,1305.0,1342.0
2301,Soliha_screen_0288.json,label,74.0,169.0,1485.0,1520.0
2302,Soliha_screen_0288.json,label,72.0,196.0,1661.0,1698.0
2303,Soliha_screen_0288.json,label,71.0,334.0,1839.0,1886.0
2304,Soliha_screen_0288.json,label,1144.0,1366.0,1837.0,1887.0
2305,Soliha_screen_0288.json,ActionBar$Tab,0.0,360.0,2503.0,2678.0
2306,Soliha_screen_0288.json,ActionBar$Tab,360.0,720.0,2503.0,2678.0
2307,Soliha_screen_0288.json,ActionBar$Tab,720.0,1080.0,2503.0,2678.0
2308,Soliha_screen_0288.json,ActionBar$Tab,1080.0,1440.0,2503.0,2678.0
2309,71875.json,text_view,19.25,340.75,96.5,127.5
2310,71875.json,text_view,19.25,340.75,127.5,167.75
2311,71875.json,separator_line,21.0,339.0,169.5,170.5
2312,71875.json,text_view,19.25,340.75,172.25,190.0
2313,71875.json,email,19.25,340.75,190.0,224.5
2314,71875.json,text_view,19.25,340.75,224.5,242.25
2315,71875.json,password,19.25,340.75,242.25,276.75
2316,71875.json,text_view,19.25,312.75,283.25,299.75
2317,71875.json,check_box,312.75,340.75,276.75,304.75
2318,71875.json,text_view,19.25,340.75,304.75,352.25
2319,71875.json,tb_forgot_password,19.25,209.5,352.25,368.75
2320,71875.json,tb_sign_up,209.5,340.75,352.25,368.75
2321,71875.json,log_in,8.75,351.25,388.25,430.25
2322,71875.json,text_view,15.75,105.5,449.75,473.25
2323,71875.json,text_view,15.75,85.25,473.25,495.0
2324,71875.json,text_view,15.75,35.5,495.0,512.75
2325,71875.json,text_view,35.5,344.25,495.0,525.75
2326,71875.json,text_view,15.75,35.5,525.75,543.5
2327,71875.json,text_view,35.5,158.0,525.75,542.25
2328,71875.json,text_view,15.75,35.5,542.25,560.0
2329,71875.json,text_view,35.5,192.5,542.25,558.75
2330,71875.json,text_view,15.75,35.5,558.75,576.5
2331,71875.json,text_view,35.5,88.75,558.75,575.25
2332,71875.json,menu_dashs,0.0,18.25,35.0,49.0
2333,71875.json,image_view,15.0,38.75,32.0,52.25
2334,71875.json,text_view,42.25,165.0,31.25,52.5
2335,71875.json,box_outline,8.333333333333332,351.6666666666667,81.0,585.0
2336,21338.json,image_view,103.0,257.0,63.0,263.5
2337,21338.json,email,10.5,349.5,263.5,314.0
2338,21338.json,password,10.5,349.5,314.0,364.5
2339,21338.json,log_in,10.5,349.5,375.0,435.5
2340,21338.json,text_view,10.5,349.5,446.0,470.5
2341,21338.json,fb_button,10.5,349.5,481.0,531.0
2342,21338.json,sign_up,0.0,360.0,556.0,598.0
2343,21338.json,image_view,10.75,38.75,28.0,56.0
2344,21338.json,text_view,42.25,81.0,31.25,52.5
2345,21338.json,menu_dots,311.0,360.0,21.0,63.0
2346,47044.json,icon_button,0.0,49.0,21.0,70.0
2347,47044.json,separator_line,0.0,360.0,70.0,71.75
2348,47044.json,image_view,122.33333333333334,226.33333333333334,85.66666666666667,121.66666666666667
2349,47044.json,text_view,61.0,299.6666666666667,138.33333333333334,162.33333333333334
2350,47044.json,image_view,148.33333333333334,213.0,191.66666666666666,255.66666666666669
2351,47044.json,email,67.66666666666666,293.66666666666663,276.3333333333333,315.66666666666663
2352,47044.json,log_in,67.66666666666667,292.33333333333337,321.0,353.0
2353,47044.json,tb_forgot_password,193.66666666666666,296.3333333333333,360.33333333333337,377.0
2354,47044.json,tb_sign_up,134.33333333333337,224.33333333333334,413.0,427.6666666666667
2355,47044.json,text_view,63.66666666666666,297.66666666666663,453.00000000000006,467.00000000000006
2356,47044.json,image_view,74.33333333333334,284.3333333333333,471.66666666666674,494.99999999999994
2357,47044.json,box_outline,49.0,309.0,175.66666666666666,395.6666666666667
2358,47044.json,text_button,5.666666666666668,74.33333333333333,577.6666666666666,593.0
2359,47044.json,text_button,79.66666666666667,118.33333333333334,577.0,592.3333333333334
2360,47044.json,text_button,129.0,163.0,576.3333333333334,593.0
2361,47044.json,text_button,171.0,200.33333333333334,576.3333333333334,593.6666666666666
2362,47044.json,navigation_bar,0.3333333333333339,359.0,567.6666666666666,598.0
2363,70337.json,name,17.5,342.5,80.5,115.0
2364,70337.json,email,17.5,342.5,123.75,158.25
2365,70337.json,password,17.5,342.5,167.0,201.5
2366,70337.json,image_view,43.75,105.0,227.75,289.0
2367,70337.json,text_button,118.25,257.75,252.25,273.5
2368,70337.json,sign_up,17.5,342.5,315.25,376.5
2369,70337.json,text_button,81.5,278.25,394.0,427.25
2370,70337.json,icon_button,0.0,14.0,35.0,49.0
2371,70337.json,text_view,14.0,67.5,31.25,52.5
2372,30483.json,text_view,0.0,360.0,31.25,59.5
2373,30483.json,text_view,86.25,273.75,87.5,130.5
2374,30483.json,email,20.5,339.25,156.75,181.0
2375,30483.json,password,20.5,339.25,198.5,222.75
2376,30483.json,tb_forgot_password,104.0,255.75,527.0,547.25
2377,30483.json,log_in,0.0,360.0,556.0,598.0
2378,Soliha_screen_0322.json,button,70.0,157.0,1347.0,1435.0
2379,Soliha_screen_0322.json,button,1267.0,1396.0,1666.0,1802.0
2380,Soliha_screen_0322.json,label,199.33333333333348,891.0,1349.5,1428.6666666666667
2381,Soliha_screen_0322.json,label,82.66666666666674,524.3333333333335,1695.3333333333335,1766.1666666666667
2382,Soliha_screen_0322.json,image,82.66666666666674,207.66666666666674,1974.5,2112.0
2383,Soliha_screen_0322.json,label,266.0,736.8333333333335,1978.6666666666667,2116.166666666667
2384,Soliha_screen_0322.json,label,436.8333333333335,999.3333333333335,2312.0,2395.3333333333335
2385,14426.json,image_view,92.5,267.5,87.5,349.0
2386,14426.json,fb_button,28.33333333333333,331.6666666666667,453.0,501.6666666666667
2387,14426.json,text_view,124.25,274.0,467.5,486.75
2388,14426.json,email_button,28.33333333333333,331.0,509.0,556.3333333333334
2389,14426.json,text_view,124.25,247.75,522.75,542.0
2390,18055.json,image_view,92.66666666666667,262.6666666666667,37.0,101.66666666666667
2391,18055.json,text_view,68.0,294.6666666666667,109.0,125.66666666666667
2392,18055.json,text_view,52.0,88.0,142.33333333333334,158.33333333333334
2393,18055.json,text_view,52.66666666666667,111.33333333333333,214.33333333333334,229.66666666666666
2394,18055.json,email,54.66666666666667,305.3333333333333,165.66666666666666,208.33333333333334
2395,18055.json,password,53.33333333333333,305.3333333333333,236.33333333333334,281.0
2396,18055.json,log_in,53.33333333333333,306.6666666666667,287.0,323.6666666666667
2397,18055.json,tb_sign_up,131.33333333333334,228.66666666666666,337.6666666666667,351.0
2398,18055.json,tb_forgot_password,117.33333333333334,245.33333333333331,363.0,378.3333333333333
2399,18055.json,text_button,81.33333333333333,276.0,421.0,435.6666666666667
2400,18055.json,text_view,82.66666666666667,266.0,464.3333333333333,479.6666666666667
2401,18055.json,text_button,81.33333333333333,178.66666666666666,481.6666666666667,497.0
2402,18055.json,tb_privacy_terms,190.66666666666666,267.3333333333333,481.6666666666667,496.3333333333333
2403,60767.json,image_view,0.0,360.0,21.0,381.0
2404,60767.json,text_view,289.25,360.0,21.0,47.25
2405,60767.json,text_view,0.0,360.0,381.0,416.0
2406,60767.json,text_view,0.0,360.0,430.0,489.25
2407,60767.json,button,14.0,346.0,503.25,545.25
2408,60767.json,navigation_dots,121.33333333333334,238.66666666666666,563.0,575.6666666666666
2409,36107.json,text_view,12.333333333333332,273.6666666666667,110.33333333333333,156.33333333333334
2410,36107.json,text_view,12.333333333333332,210.33333333333334,161.66666666666666,179.66666666666666
2411,36107.json,text_view,15.666666666666668,169.0,187.66666666666666,203.66666666666666
2412,36107.json,text_view,15.666666666666668,81.66666666666667,265.0,279.0
2413,36107.json,tb_sign_up,11.666666666666668,251.0,489.0,521.6666666666666
2414,36107.json,tb_forgot_password,210.33333333333334,347.6666666666667,339.0,357.0
2415,36107.json,text_button,9.666666666666668,333.0,425.6666666666667,461.0
2416,36107.json,text_view,151.66666666666666,208.33333333333334,461.6666666666667,473.0
2417,36107.json,text_view,87.0,274.3333333333333,564.3333333333334,579.6666666666666
2418,36107.json,separator_line,212.33333333333331,348.3333333333333,465.66666666666663,466.99999999999994
2419,36107.json,separator_line,11.666666666666686,147.66666666666669,465.6666666666667,467.0
2420,36107.json,email,13.666666666666668,345.6666666666667,205.66666666666666,243.66666666666666
2421,36107.json,password,13.666666666666668,345.6666666666667,281.0,319.6666666666667
2422,36107.json,log_in,14.333333333333332,346.3333333333333,368.3333333333333,408.3333333333333
2423,36107.json,text_view,13.0,348.3333333333333,35.0,98.33333333333333
2424,34090.json,email,55.25,304.75,175.0,218.75
2425,34090.json,password,55.25,306.3333333333333,246.75,291.6666666666667
2426,34090.json,text_view,272.25,302.5,260.5,277.0
2427,34090.json,log_in,55.66666666666667,305.0,317.0,359.6666666666667
2428,34090.json,tb_forgot_password,119.0,241.0,378.0,396.0
2429,34090.json,image_view,101.66666666666667,260.3333333333333,76.33333333333333,127.0
2430,28549.json,text_view,104.25,139.0,34.75,56.0
2431,28549.json,text_view,168.75,196.75,34.75,56.0
2432,28549.json,image_view,49.0,77.0,31.5,59.5
2433,28549.json,menu_dashs,0.0,49.0,21.0,70.0
2434,28549.json,filter_button,262.0,311.0,24.5,66.5
2435,28549.json,search_button,311.0,360.0,24.5,66.5
2436,28549.json,button,241.75,346.75,553.75,593.25
2437,28549.json,text_view,13.25,55.5,557.0,571.75
2438,28549.json,text_view,13.25,157.75,575.25,590.0
2439,28549.json,text_view,14.0,86.0,86.0,103.0
2440,28549.json,sort,89.5,334.0,77.0,111.66666666666667
2441,28549.json,separator_line,0.0,360.0,119.0,120.0
2442,28549.json,image_view,13.25,346.75,133.75,335.0
2443,28549.json,icon_button,13.25,67.75,133.75,188.25
2444,28549.json,star_icon_button,292.25,346.75,133.75,188.25
2445,28549.json,price,255.75,334.6666666666667,348.25,371.0
2446,28549.json,text_view,287.5,333.5,373.75,390.5
2447,28549.json,text_view,26.5,255.75,348.25,373.75
2448,28549.json,text_view,26.5,255.75,373.75,390.5
2449,28549.json,image_view,13.25,346.75,417.0,549.0
2450,28549.json,icon_button,13.25,67.75,417.0,471.5
2451,28549.json,star_icon_button,292.25,346.75,417.0,471.5
2452,28549.json,separator_line,0.0,360.0,548.0,549.0
2453,28549.json,separator_line,0.0,360.0,70.0,71.0
2454,28549.json,tab_bar,92.66666666666667,218.0,21.666666666666668,67.66666666666667
2455,28549.json,card,11.333333333333332,348.0,131.66666666666666,405.0
2456,28549.json,card_partial,12.0,347.3333333333333,415.0,548.3333333333334
2457,28549.json,bottom_bar,0.0,359.0,549.0,598.0
2458,66430.json,text_view,52.5,102.25,33.5,57.25
2459,66430.json,icon_button,0.0,49.0,21.0,70.0
2460,66430.json,text_view,48.75,311.25,83.25,163.75
2461,66430.json,text_view,48.75,311.25,172.5,189.25
2462,66430.json,phone_number,48.75,311.25,191.0,234.75
2463,66430.json,text_view,48.75,311.25,248.0,264.75
2464,66430.json,password,48.75,311.25,266.5,310.25
2465,66430.json,log_in,48.75,311.25,323.5,367.25
2466,66430.json,check_box,48.75,157.0,377.75,405.75
2467,66430.json,tb_forgot_password,206.5,303.6666666666667,384.75,401.6666666666667
2468,66430.json,tb_sign_up,48.75,311.25,421.0,501.75
2469,66430.json,sign_up,48.75,311.25,510.5,554.25
2470,928.json,icon_button,8.75,43.75,21.0,49.5
2471,928.json,text_view,112.25,247.5,26.25,44.0
2472,928.json,icon_button,167.0,192.75,49.5,60.5
2473,928.json,log_in,57.75,302.25,369.75,411.75
2474,928.json,username,57.75,301.5,235.0,271.75
2475,928.json,password,57.75,302.25,280.5,317.25
2476,928.json,icon_button,331.5,360.0,568.75,598.0
2477,928.json,text_view,70.5,289.25,571.75,595.0
2478,928.json,text_view,57.75,301.5,182.5,226.25
2479,928.json,button,57.75,302.25,465.5,507.5
2480,928.json,fb_button,57.75,302.25,420.5,456.75
2481,928.json,tb_forgot_password,57.75,197.0,337.75,361.0
2482,33186.json,image_view,0.0,360.0,21.0,221.0
2483,33186.json,text_view,19.25,225.5,235.0,258.25
2484,33186.json,google_button,19.25,340.75,274.0,316.0
2485,33186.json,fb_button,19.25,340.75,321.25,363.25
2486,33186.json,text_view,19.25,265.75,368.5,382.0
2487,33186.json,email_button,19.25,340.75,394.25,436.25
2488,33186.json,tb_log_in,15.916666666666657,245.41666666666663,447.4166666666667,472.91666666666663
2489,62189.json,image_view,70.5,289.25,34.25,253.0
2490,62189.json,image_view,40.75,68.75,263.25,291.25
2491,62189.json,separator_line_v,81.0,82.0,261.5,293.0
2492,62189.json,country,27.0,333.6666666666667,257.6666666666667,295.6666666666667
2493,62189.json,image_view,303.5,331.5,263.25,291.25
2494,62189.json,text_view,43.0,66.5,314.75,333.75
2495,62189.json,separator_line_v,81.0,82.0,309.75,338.75
2496,62189.json,phone_number,91.0,303.5,309.75,338.75
2497,62189.json,text_view,30.75,333.75,347.25,378.0
2498,62189.json,tb_privacy_terms,30.75,333.75,382.5,399.0
2499,62189.json,next,27.0,333.0,412.3333333333333,451.6666666666667
2500,17089.json,image_view,96.33333333333333,262.3333333333333,50.333333333333336,122.33333333333333
2501,17089.json,text_view,17.5,342.25,141.0,182.25
2502,17089.json,email,16.833333333333343,341.58333333333337,196.16666666666666,231.16666666666666
2503,17089.json,password,17.5,342.25,239.5,274.5
2504,17089.json,text_view,26.25,342.25,279.0,289.75
2505,17089.json,password,17.5,342.25,294.25,329.25
2506,17089.json,icon_button,320.5,355.5,0.0,35.0
2507,17089.json,navigation_dots,15.0,309.6666666666667,5.0,29.0
2508,70858.json,text_view,112.25,247.5,21.0,60.5
2509,70858.json,image_view,127.5,232.5,69.25,174.25
2510,70858.json,button,8.75,351.25,187.5,216.5
2511,70858.json,username,8.75,351.25,237.5,265.5
2512,70858.json,phone_number,8.75,351.25,266.5,294.5
2513,70858.json,password,8.75,351.25,295.5,323.5
2514,70858.json,password,8.75,351.25,324.5,352.5
2515,70858.json,text_view,8.75,351.25,361.25,389.0
2516,70858.json,next,8.75,351.25,393.5,422.5
2517,70858.json,navigation_dots,92.5,267.5,431.25,452.5
2518,52180.json,menu_dashs,8.75,28.0,21.0,70.0
2519,52180.json,text_view,118.0,241.75,28.5,62.5
2520,52180.json,icon_button,325.75,351.25,21.0,70.0
2521,52180.json,image_view,85.0,275.0,87.5,162.5
2522,52180.json,username,17.5,342.5,180.0,226.25
2523,52180.json,password,17.5,342.5,226.25,272.5
2524,52180.json,check_box,17.5,342.5,281.25,305.0
2525,52180.json,log_in,17.333333333333332,341.3333333333333,322.3333333333333,358.3333333333333
2526,52180.json,image_view,8.75,170.25,392.5,468.0
2527,52180.json,separator_line_v,179.0,180.5,392.5,468.0
2528,52180.json,image_view,189.25,351.25,392.5,468.0
2529,56439.json,email,5.25,346.0,225.5,260.0
2530,56439.json,password,5.25,346.0,260.0,294.5
